timestamp,coal,nuclear,wind,hydro,solar,total
2012-01-31,155758207.02460408,68469722.58395703,15393710.300670449,6375347.8564258665,0.0,245996987.76565742
2012-02-29,169038240.38261738,69669619.3007724,13632867.07553422,4662923.242732877,0.0,257003650.00165686
2012-03-31,164446676.89702368,56401239.78839252,10255684.439437207,3784780.137693154,0.0,234888381.26254654
2012-04-30,138359032.33494925,69609460.41508862,9363183.886532344,1830465.2423875171,0.0,219162141.87895775
2012-05-31,120732614.67798354,70791847.40015684,8451583.916617138,1891289.9337899964,0.0,201867335.92854753
2012-06-30,100130598.6590341,67521766.3569968,9485464.956981648,1479211.4076140467,0.0,178617041.38062662
2012-07-31,106691136.64369777,63904195.033405624,7182712.025925294,1974786.241514583,0.0,179752829.94454327
2012-08-31,103235897.55020103,73434489.54684462,8931783.0780031,2103729.170957463,0.0,187705899.34600618
2012-09-30,119371910.61381441,65134463.87263751,16795247.64498634,3054719.100687502,0.0,204356341.23212576
2012-10-31,151987406.93348694,60553906.32916661,11716614.273392765,3449574.9691783525,0.0,227707502.50522465
2012-11-30,155952349.40466833,56213188.45009257,17795217.186614122,4524413.900633398,0.0,234485168.94200844
2012-12-31,161983568.12706488,70382637.59702203,22315533.841651417,4170882.155315469,0.0,258852621.72105384
2013-01-31,163869387.5617599,77174341.51767008,20825926.249549016,4260668.308178734,0.0,266130323.63715774
2013-02-28,147791415.1976182,62572284.45857819,16576061.991783243,3331225.415622237,0.0,230270987.06360185
2013-03-31,159922135.63808513,64759518.93440388,19167109.890016664,1421484.1669444023,0.0,245270248.62945008
2013-04-30,127545165.36514588,66176464.83717769,19568275.17715182,2480076.020531392,0.0,215769981.40000677
2013-05-31,117624737.72951439,53337828.500743166,17832532.04958456,3258798.8748812163,0.0,192053897.15472332
2013-06-30,89234094.14613551,55102670.30895036,12527673.630503908,1292804.0131074707,0.0,158157242.09869725
2013-07-31,97451848.56506267,70437395.6257391,8697627.148770772,1281898.9284402977,0.0,177868770.26801282
2013-08-31,103659451.3786188,76459754.99431506,11953184.709900882,1617978.0308556654,0.0,193690369.11369044
2013-09-30,114483022.02189781,62142411.423357666,15339712.08759124,2231701.270072993,0.0,194196846.80291972
2013-10-31,127392021.29268293,66086906.73867596,23469701.916376308,3476581.3519163765,0.0,220425211.29965156
2013-11-30,129238090.75789474,64795778.82105263,23296814.6,4391845.231578948,0.0,221722529.41052634
2013-12-31,130905491.51938832,72259247.79893315,34107608.21902703,5932578.104817854,0.0,243204925.64216638
2014-01-31,140321709.2429698,68256112.40938146,30766862.517507516,6435032.034970453,0.0,245779716.20482925
2014-02-28,121563903.11176944,57102002.29088142,32989175.110441092,5897569.545160583,0.0,217552650.05825254
2014-03-31,129166093.43299857,59421088.03820455,24276128.71342488,6272391.186841565,0.0,219135701.37146956
2014-04-30,108791075.0,63124301.0,17690861.0,4335456.0,0.0,193941693.0
2014-05-31,87343359.95104894,64575238.41258741,14441191.706293706,2551175.146853147,0.0,168910965.21678323
2014-06-30,56883188.474820144,67959226.90647483,8106567.712230216,1669631.7410071942,0.0,134618614.83453238
2014-07-31,48411929.762737714,65373308.208304614,11943383.813483277,987350.353826078,0.0,126715972.13835168
2014-08-31,48474980.0,58310959.0,20639717.0,2838402.0,0.0,130264058.0
2014-09-30,93828132.0,52827217.0,8862446.0,1878418.0,0.0,157396213.0
2014-10-31,98092984.7911928,45999974.44450641,28160247.659701407,3630610.7083931793,0.0,175883817.6037938
2014-11-30,112081277.47578397,45946599.64756098,21710113.16567944,5173222.495644599,0.0,184911212.78466898
2014-12-31,114447850.87269177,68156725.04414156,34356558.94030768,5412715.005105266,0.0,222373849.86224627
2015-01-31,118468771.0,73927053.0,35427032.0,6449730.0,0.0,234272586.0
2015-02-28,110519195.03135888,65688935.44250871,23984329.735191636,4731716.341463415,0.0,204924176.55052266
2015-03-31,115546651.0,63426803.0,27290100.0,5248761.0,0.0,211512315.0
2015-04-30,85476271.13286713,63167129.36363636,16421669.265734266,3900325.7482517483,0.0,168965395.51048952
2015-05-31,60781064.0,64499276.0,25050162.0,4062009.0,0.0,154392511.0
2015-06-30,52913090.18764163,62152108.05428718,16903722.157159913,3184443.805267903,0.0,135153364.2043566
2015-07-31,53317420.2875973,64555846.17208095,17771042.47503892,3479662.366061235,0.0,139123971.30077842
2015-08-31,47468924.79094077,61171373.29965157,17644416.069686413,2640762.6306620208,0.0,128925476.79094078
2015-09-30,50910396.34965035,60431258.28671329,15257356.965034965,1359919.3916083917,0.0,127958930.99300699
2015-10-31,76323757.04878049,69372532.10452962,16940585.407665506,1575661.3519163763,0.0,164212535.91289198
2015-11-30,66142243.2556115,66434826.675950326,31244727.061550353,5000283.881115416,0.0,168822080.8742276
2015-12-31,55881645.87452445,73647874.76518989,36598106.684774786,7513519.58561772,0.0,173641146.9101068
2016-01-31,56657741.03844564,67860619.10596055,30728878.848103896,6115698.747741721,0.0,161362937.7402518
2016-02-29,58705074.91450803,62578465.379296765,25158235.827341672,5530807.3683640305,0.0,151972583.48951048
2016-03-31,49427658.33449477,63386160.668989554,18542658.902439028,4391822.947735192,0.0,135748300.85365853
2016-04-30,21077654.222996518,59828147.94076655,18926713.43205575,2981605.536585366,0.0,102814121.13240418
2016-05-31,10721315.0,62457904.0,18758274.0,2202606.0,0.0,94140099.0
2016-06-30,16819896.135295425,64604358.695900366,10101416.981837053,1147801.1527911632,0.0,92673472.96582401
2016-07-31,9340897.0,71271374.0,14947113.0,2489274.0,0.0,98048658.0
2016-08-31,6158511.0,70321434.0,17045288.0,2855334.0,0.0,96380567.0
2016-09-30,11930972.473479299,68670937.94810542,20747681.876097236,3067532.0699851746,0.0,104417124.36766714
2016-10-31,22651730.546449427,67995258.92221622,21599538.682779603,2722730.020317024,428636.2044271184,115397894.3761894
2016-11-30,37237462.63083258,70629737.93862236,26792161.670890085,2553278.0798957143,4429969.121014586,141642609.44125533
2016-12-31,35671724.67161879,71665716.65323426,31179061.793285336,4523940.909044505,2527224.9647794394,145567668.99196237
2017-01-31,56816889.69086519,65979288.90228616,30451376.110670093,6461130.281098691,3477614.5151875857,163186299.50010768
2017-02-28,41828004.43205575,64972061.18466899,35354137.885017425,5529906.205574913,4397701.834697843,152081811.54201496
2017-03-31,17520471.0,66581759.0,32853693.0,7402565.0,10268769.778963998,134627257.778964
2017-04-30,4631607.086366614,60597128.691354126,25832925.233315706,2550045.5718017896,14808270.113146896,108419976.69598514
2017-05-31,5671103.160301669,68036078.15849073,23318621.11649551,1458131.3331881533,16258236.699132945,114742170.46760899
2017-06-30,5344943.14636583,70539523.12524062,28151156.386028603,1848881.5727686947,16270500.982768815,122155005.21317258
2017-07-31,4974480.956521739,65589798.26086956,22212094.086956523,1983070.0434782607,16565026.622047126,111324469.96987322
2017-08-31,5697722.0,70460721.0,22569890.0,3070428.0,14881092.705926998,116679853.70592697
2017-09-30,12223051.0,66855626.0,29462254.0,3557364.0,10424789.683166003,122523084.683166
2017-10-31,10740280.600789456,67012502.586218655,45935291.46056382,4701603.815550303,6543881.022480612,134933559.48560283
2017-11-30,37364825.32138858,60009007.935722284,43842006.49988802,4711573.743784994,4553242.972855166,150480656.473639
2017-12-31,44618870.0,60090732.0,47818381.0,4787490.0,2833807.146359001,160149280.14635903
2018-01-31,18049228.0,62228667.0,55348841.0,4072676.0,3344466.2938360004,143043878.293836
2018-02-28,32548595.0,60430063.0,42968900.0,3682768.0,7167700.936457998,146798026.93645802
2018-03-31,46804652.53282297,63835566.1062201,44069229.25014354,2503251.6620095694,7423905.304270814,164636604.855467
2018-04-30,5959839.896298541,61438883.3590886,36688392.06462976,2956208.314307508,10716264.053343067,117759587.68766755
2018-05-31,2982206.260218095,61064899.809318155,26487652.790446635,2576362.9776250185,18174648.544091586,111285770.38169949
2018-06-30,2061821.3808413711,63296328.95020603,20669683.73442962,1266355.9040630828,18290438.321640227,105584628.29118034
2018-07-31,1726485.1617795753,63361978.42163802,16662562.933265924,1084987.362992922,19983354.587921254,102819368.4675977
2018-08-31,3631921.0,66766896.0,28236338.0,1897590.0,14453995.325558,114986740.32555796
2018-09-30,15435296.24390244,62213050.10452962,42340574.540069684,3441098.6794425086,12187360.446172269,135617380.0141165
2018-10-31,11527018.0,51339138.0,48361817.0,5332370.0,8602377.597434,125162720.59743397
2018-11-30,27124839.595299054,53082560.70693206,57658027.07542303,4486286.589427685,3955767.99322135,146307481.96030316
2018-12-31,16971752.531468533,58751958.426573426,53542142.23076923,5247200.622377623,2270748.7504885173,136783802.56167734
2019-01-31,21713650.30296352,54863049.99500129,48827183.71573854,4124060.7216483424,3387668.606247168,132915613.34159884
2019-02-28,7370266.0,51268060.0,49608409.0,3971665.0,7069525.790301001,119287925.79030098
2019-03-31,5048612.0,50753563.0,58346710.0,5294440.0,10590624.941944,130033949.94194397
2019-04-30,3388316.7834793488,54536450.11381866,41279290.040233284,2403882.640167471,14768840.079314426,116376779.65701316
2019-05-31,252777.85714285716,54497446.816480234,27182130.564484384,1594896.7948407605,16873170.69374888,100400422.72669712
2019-06-30,692671.0,38386548.60627177,36331910.80836237,2310459.2404181184,14900139.270780688,92621728.92583297
2019-07-31,296508.0,46196738.56231884,30952547.092753623,2484579.8376811594,17618375.709184285,97548749.20193791
